"model" "simtype" "TP" "TN" "F1" "sin_theta" "frob_norm" "spec_norm" "ARI"
"1" "SLICE" "simcirc" 0.0192774401542121 0.003306746185243 0.00626797906930167 0.263443386686602 0.795558033127829 0.281559279761656 NA
"2" "SLICE" "simcres" 0.0220446341606721 0.00325846629749777 0.00664866495760394 0.00274060105477809 3.59734007038587 2.26047915548179 NA
"3" "SLICE" "simrand" 0.0213004715384669 0.00325825815477308 0.00602188464429101 0.140626205872034 2.05193864888607 1.72539938129211 0.0223487260718505
"4" "SLICE" "simspir" 0.0201452568973525 0.00344299575333141 0.0065346249476977 0.0385885450407709 0.409761458821602 0.111936708544533 NA
"5" "nnLVGLASSO" "simcirc" 0.00805604192667249 0.00347366994974243 0.000420239395127406 0.216338918210338 1.69398211846802 0.603914764491423 NA
"6" "nnLVGLASSO" "simcres" 0.00621545243657578 0.00383641389956579 0.000368431291175074 0.03319297478075 7.92768970208355 2.69191369115279 NA
"7" "nnLVGLASSO" "simrand" 0.00811277107773293 0.014049484837332 0.000824897244019133 0.158483522054445 22.1509723002777 22.1600125093394 0.0659919148728771
"8" "nnLVGLASSO" "simspir" 0.00810062303211327 0.0051859344829381 0.000458261235095018 0.21923328527434 0.00739394940893309 0.00419844422546662 NA
"9" "rcLVGLASSO" "simcirc" 0.00638229107343325 0.00350797498813446 0.00039074592716108 0.000133574887431734 68.5246012748803 0.618561199274779 NA
"10" "rcLVGLASSO" "simcres" 0.0187649976101922 0.003017893124856 0.00304330815167645 9.28857936135977e-05 8.83184623805943 2.57076560702952 NA
"11" "rcLVGLASSO" "simrand" 0.00241508923352452 0.00687326315237534 0.000301384196008617 0.0202133291221327 21.5403222532717 21.7887487170496 0.145393599778308
"12" "rcLVGLASSO" "simspir" 0.00854032430929396 0.0027216251741185 0.000498198961083904 0.000895328746005256 18.5054317851145 0.0204228188324887 NA
"13" "tGLASSO" "simcirc" 0.01509400445456 0 0.0250708744850854 NA NA NA NA
"14" "tGLASSO" "simcres" 0.000737518227466634 0 0 NA NA NA NA
"15" "tGLASSO" "simrand" 0.00579004344770784 0.00089674114750883 0.0101318215926508 NA NA NA NA
"16" "tGLASSO" "simspir" 0.000803647328538527 0 0 NA NA NA NA
