"model" "plat" "n" "F1" "sin_theta" "frob_norm" "spec_norm" "ARI"
"1" "SLICE" 3 75 0.0757382107196641 0.994081346039309 171.344580359279 119.174222522776 0.510648193314931
"2" "SLICE" 3 150 0.126078370424164 0.895165949003672 172.556591067345 105.044400101768 0.60541254233218
"3" "SLICE" 3 225 0.18774913362142 0.384346655383831 96.7556072259625 69.0570736817482 0.865068754660701
"4" "SLICE" 3 300 0.240065948982976 0.286735868455814 81.2146666766152 58.4657051335993 0.879579436606858
"5" "SLICE" 3 375 0.272914890959721 0.255092370058386 65.4685943769327 46.2578634927739 0.942726178926617
"6" "SLICE" 4 75 0.0738663725635031 0.994924999299545 155.98150228745 97.1187169843028 0.535777396140065
"7" "SLICE" 4 150 0.128987578591186 0.914494386335631 158.047690113473 87.8840496888606 0.621127401239284
"8" "SLICE" 4 225 0.186007083808364 0.459381638985169 88.3707564588073 58.1841843455735 0.825388551868604
"9" "SLICE" 4 300 0.242136142895009 0.37852251553655 75.1921603178324 48.0386675060122 0.847791062174117
"10" "SLICE" 4 375 0.265986448611722 0.279667021532195 55.5819448008012 31.069870007445 0.906017770738342
"11" "SLICE" 5 75 0.0745951471274666 0.992696420175677 147.912364298165 81.5249150751892 0.559127798253742
"12" "SLICE" 5 150 0.126064096102574 0.911933766536507 145.374756281787 73.6092477743467 0.636079797512256
"13" "SLICE" 5 225 0.183414249433809 0.494437904802894 86.3033534037166 51.32314743671 0.79233906622287
"14" "SLICE" 5 300 0.232322299431821 0.400483099226538 76.0511762596929 44.903124380763 0.811495074808118
"15" "SLICE" 5 375 0.258688032061977 0.357877025189189 57.0519528739282 25.5450461731291 0.907516511024564
"16" "SLICE" 6 75 0.0732357284147312 0.992173030076213 139.701332741942 70.5027520352526 0.585581356614299
"17" "SLICE" 6 150 0.126325222414382 0.913892735886771 138.714549850158 64.7625177719385 0.643347988293376
"18" "SLICE" 6 225 0.183409660376366 0.569728719311366 85.3275433959857 48.1366026014519 0.765389574980962
"19" "SLICE" 6 300 0.232047049830552 0.48929375903781 78.6363252763226 43.6968283730687 0.795365355944764
"20" "SLICE" 6 375 0.249823677673211 0.394487501981961 64.131968337156 26.8660744387044 0.897180451812032
"21" "nnLVGLASSO" 3 75 0.0806380585343674 0.9957087099427 120.557944496516 120.263689900883 0.460700615063031
"22" "nnLVGLASSO" 3 150 0.1298699585151 0.98805741768865 119.924271322932 119.852481487646 0.473427696329588
"23" "nnLVGLASSO" 3 225 0.199141236973189 0.85754620179342 120.441442081135 120.333590753586 0.694903045714622
"24" "nnLVGLASSO" 3 300 0.255604466961389 0.709022314345027 119.906413944075 119.812682267879 0.870147626821452
"25" "nnLVGLASSO" 3 375 0.25416012745691 0.607254113572499 119.997950874642 119.676950082089 0.947375701701118
"26" "nnLVGLASSO" 4 75 0.0785460694729169 0.995148334057171 97.9274859089887 97.6354669451154 0.429465058346937
"27" "nnLVGLASSO" 4 150 0.132615183427412 0.988527188304406 97.5477725285297 97.3694530427557 0.476461912423986
"28" "nnLVGLASSO" 4 225 0.194576980027945 0.839893694728465 97.8777481871095 97.6153596043802 0.713725937817704
"29" "nnLVGLASSO" 4 300 0.229593321415858 0.686358812796563 98.295696406903 97.8391510960539 0.886392054585493
"30" "nnLVGLASSO" 4 375 0.211601142277809 0.530783559629727 98.8385137664531 98.1813167048119 0.971162387495138
"31" "nnLVGLASSO" 5 75 0.079380352416082 0.995802981118803 82.5359779780192 82.15122093988 0.429368199131443
"32" "nnLVGLASSO" 5 150 0.129847476493015 0.984435510948256 82.4043024823459 82.1968795287155 0.492117127160995
"33" "nnLVGLASSO" 5 225 0.187522479285621 0.81880893110409 82.7236360218943 82.3252274176613 0.68629552190638
"34" "nnLVGLASSO" 5 300 0.20239353394744 0.670296581479479 82.6736260863884 81.938559298513 0.930635254854368
"35" "nnLVGLASSO" 5 375 0.170841439688799 0.578088833681211 80.7241375963607 79.7049607079504 0.967798610316886
"36" "nnLVGLASSO" 6 75 0.0777609265409118 0.995506026745963 71.4669317860954 71.1270866784611 0.417050964535668
"37" "nnLVGLASSO" 6 150 0.129734356199959 0.978559794643882 71.4087134180538 71.1419954905226 0.534794324707648
"38" "nnLVGLASSO" 6 225 0.186629644651131 0.829783462048524 71.6100198701504 70.9969868014947 0.777470863082771
"39" "nnLVGLASSO" 6 300 0.189645326997433 0.64570426642674 71.7871183546091 70.829232756324 0.946024634984925
"40" "nnLVGLASSO" 6 375 0.157112268880681 0.567305588568202 71.8832808836893 70.7147785354833 0.95600875668081
"41" "rcLVGLASSO" 3 75 0.0784453877125016 0.999775435389599 121.643610608059 120.53263201229 0.510968586769833
"42" "rcLVGLASSO" 3 150 0.126434381826658 0.999908827054273 379.85850389621 119.864522055277 0.510954496779537
"43" "rcLVGLASSO" 3 225 0.187849887925253 0.999955642106858 295.601554376851 125.07124113762 0.50287941112795
"44" "rcLVGLASSO" 3 300 0.233610516330022 0.999971181924956 201.64149052624 121.162357899175 0.507537758276013
"45" "rcLVGLASSO" 3 375 0.261050640524087 0.999969301914422 173.529249362637 120.030874454706 0.506888016590527
"46" "rcLVGLASSO" 4 75 0.0773230613295703 0.99979968146454 98.9958882001648 97.7242780791923 0.546149965888041
"47" "rcLVGLASSO" 4 150 0.131262179361841 0.999893760864645 632.372773311616 97.7007493829047 0.54544706659171
"48" "rcLVGLASSO" 4 225 0.184940562047844 0.999926506418532 319.948486847816 102.098780323923 0.535484060570869
"49" "rcLVGLASSO" 4 300 0.23107103916359 0.99996883275832 203.317522258008 99.3703407516041 0.536607456806417
"50" "rcLVGLASSO" 4 375 0.250075162381284 0.999965598286281 168.53214030953 99.66979244313 0.539398409951183
"51" "rcLVGLASSO" 5 75 0.0772820030409596 0.999765543216924 83.6237965537324 82.2592220406581 0.568740487214819
"52" "rcLVGLASSO" 5 150 0.124202880371284 0.99990638471623 780.728541848908 82.578397067954 0.569521250183753
"53" "rcLVGLASSO" 5 225 0.178811032824117 0.999968950782547 338.084350389573 84.3042425602006 0.561416696557768
"54" "rcLVGLASSO" 5 300 0.220980179758562 0.999943404214309 219.593044800945 83.1572773033864 0.566015062049351
"55" "rcLVGLASSO" 5 375 0.249716543654395 0.999972504494634 180.943732196878 82.4348252056382 0.558427623670546
"56" "rcLVGLASSO" 6 75 0.0759795217074476 0.999788968700133 72.7596929286904 71.2191857890296 0.602980690640367
"57" "rcLVGLASSO" 6 150 0.124614969156495 0.999905401519291 654.599361233493 71.2041906421533 0.602818439116
"58" "rcLVGLASSO" 6 225 0.174008871819885 0.999941631204953 411.594412059878 73.4201119258948 0.59591154016379
"59" "rcLVGLASSO" 6 300 0.208376180603704 0.999801372737263 241.666532515316 71.2625011130515 0.597624043566491
"60" "rcLVGLASSO" 6 375 0.220872503004877 0.999216764683248 14025899779578710 70.644441249338 0.59044068195487
"61" "tGLASSO" 3 75 NA NA NA NA NA
"62" "tGLASSO" 3 150 0.00671140939597315 NA NA NA NA
"63" "tGLASSO" 3 225 NA NA NA NA NA
"64" "tGLASSO" 3 300 0.00671140939597315 NA NA NA NA
"65" "tGLASSO" 3 375 0.00671140939597315 NA NA NA NA
"66" "tGLASSO" 4 75 0.00671140939597315 NA NA NA NA
"67" "tGLASSO" 4 150 0.00671140939597315 NA NA NA NA
"68" "tGLASSO" 4 225 0.00671140939597315 NA NA NA NA
"69" "tGLASSO" 4 300 0.00671140939597315 NA NA NA NA
"70" "tGLASSO" 4 375 0.00671140939597315 NA NA NA NA
"71" "tGLASSO" 5 75 0.00671140939597315 NA NA NA NA
"72" "tGLASSO" 5 150 0.00671140939597315 NA NA NA NA
