"Labels","Abbr","Group","X","Y","Z"
"1. Precentral_L","PreCG.L","Frontal",-38.65,-5.68,50.94
"2. Precentral_R","PreCG.R","Frontal",41.37,-8.21,52.09
"3. Frontal_Sup_L","SFGdor.L","Frontal",-18.45,34.81,42.2
"4. Frontal_Sup_R","SFGdor.R","Frontal",21.9,31.12,43.82
"5. Frontal_Sup_Orb_L","ORBsup.L","Frontal",-16.56,47.32,-13.31
"6. Frontal_Sup_Orb_R","ORBsup.R","Frontal",18.49,48.1,-14.02
"7. Frontal_Mid_L","MFG.L","Frontal",-33.43,32.73,35.46
"8. Frontal_Mid_R","MFG.R","Frontal",37.59,33.06,34.04
"9. Frontal_Mid_Orb_L","ORBmid.L","Frontal",-30.65,50.43,-9.62
"10. Frontal_Mid_Orb_R","ORBmid.R","Frontal",33.18,52.59,-10.73
"11. Frontal_Inf_Oper_L","IFGoperc.L","Frontal",-48.43,12.73,19.02
"12. Frontal_Inf_Oper_R","IFGoperc.R","Frontal",50.2,14.98,21.41
"13. Frontal_Inf_Tri_L","IFGtriang.L","Frontal",-45.58,29.91,13.99
"14. Frontal_Inf_Tri_R","IFGtriang.R","Frontal",50.33,30.16,14.17
"15. Frontal_Inf_Orb_L","ORBinf.L","Frontal",-35.98,30.71,-12.11
"16. Frontal_Inf_Orb_R","ORBinf.R","Frontal",41.22,32.23,-11.91
"17. Rolandic_Oper_L","ROL.L","Frontal",-47.16,-8.48,13.95
"18. Rolandic_Oper_R","ROL.R","Frontal",52.65,-6.25,14.63
"19. Supp_Motor_Area_L","SMA.L","Frontal",-5.32,4.85,61.38
"20. Supp_Motor_Area_R","SMA.R","Frontal",8.62,0.17,61.85
"21. Olfactory_L","OLF.L","Frontal",-8.06,15.05,-11.46
"22. Olfactory_R","OLF.R","Frontal",10.43,15.91,-11.26
"23. Frontal_Sup_Medial_L","SFGmed.L","Frontal",-4.8,49.17,30.89
"24. Frontal_Sup_Medial_R","SFGmed.R","Frontal",9.1,50.84,30.22
"25. Frontal_Med_Orb_L","ORBsupmed.L","Frontal",-5.17,54.06,-7.4
"26. Frontal_Med_Orb_R","ORBsupmed.R","Frontal",8.16,51.67,-7.13
"27. Rectus_L","REC.L","Frontal",-5.08,37.07,-18.14
"28. Rectus_R","REC.R","Frontal",8.35,35.64,-18.04
"29, Insula_L","INS.L","Insula and Cingulate Gyri",-35.13,6.65,3.44
"30. Insula_R","INS.R","Insula and Cingulate Gyri",39.02,6.25,2.08
"31. Cingulum_Ant_L","ACG.L","Insula and Cingulate Gyri",-4.04,35.4,13.95
"32. Cingulum_Ant_R","ACG.R","Insula and Cingulate Gyri",8.46,37.01,15.84
"33. Cingulum_Mid_L","DCG.L","Insula and Cingulate Gyri",-5.48,-14.92,41.57
"34. Cingulum_Mid_R","DCG.R","Insula and Cingulate Gyri",8.02,-8.83,39.79
"35. Cingulum_Post_L","PCG.L","Insula and Cingulate Gyri",-4.85,-42.92,24.67
"36. Cingulum_Post_R","PCG.R","Insula and Cingulate Gyri",7.44,-41.81,21.87
"37. Hippocampus_L","HIP.L","Temporal",-25.03,-20.74,-10.13
"38. Hippocampus_R","HIP.R","Temporal",29.23,-19.78,-10.33
"39. ParaHippocampal_L","PHG.L","Temporal",-21.17,-15.95,-20.7
"40. ParaHippocampal_R","PHG.R","Temporal",25.38,-15.15,-20.47
"41. Amygdala_L","AMYG.L","Temporal",-23.27,-0.67,-17.14
"42. Amygdala_R","AMYG.R","Temporal",27.32,0.64,-17.5
"43. Calcarine_L","CAL.L","Occipital",-7.14,-78.67,6.44
"44. Calcarine_R","CAL.R","Occipital",15.99,-73.15,9.4
"45. Cuneus_L","CUN.L","Occipital",-5.93,-80.13,27.22
"46. Cuneus_R","CUN.R","Occipital",13.51,-79.36,28.23
"47. Lingual_L","LING.L","Occipital",-14.62,-67.56,-4.63
"48. Lingual_R","LING.R","Occipital",16.29,-66.93,-3.87
"49. Occipital_Sup_L","SOG.L","Occipital",-16.54,-84.26,28.17
"50. Occipital_Sup_R","SOG.R","Occipital",24.29,-80.85,30.59
"51. Occipital_Mid_L","MOG.L","Occipital",-32.39,-80.73,16.11
"52. Occipital_Mid_R","MOG.R","Occipital",37.39,-79.7,19.42
"53. Occipital_Inf_L","IOG.L","Occipital",-36.36,-78.29,-7.84
"54. Occipital_Inf_R","IOG.R","Occipital",38.16,-81.99,-7.61
"55. Fusiform_L","FFG.L","Temporal",-31.16,-40.3,-20.23
"56. Fusiform_R","FFG.R","Temporal",33.97,-39.1,-20.18
"57. Postcentral_L","PoCG.L","Parietal",-42.46,-22.63,48.92
"58. Postcentral_R","PoCG.R","Parietal",41.43,-25.49,52.55
"59. Parietal_Sup_L","SPG.L","Parietal",-23.45,-59.56,58.96
