"model" "simtype" "TP" "TN" "F1" "sin_theta" "frob_norm" "spec_norm" "ARI"
"1" "SLICE" "simcres" 0.728585858585859 0.859941165655451 0.212505488768556 0.0143767510312073 9.92912501186941 4.79785966042384 NA
"2" "SLICE" "simeeg" 1 0.517019564962063 0.277413888737145 0.548346860366686 8.08320765689029 2.07522192077902 NA
"3" "SLICE" "simrand" 0.718282828282828 0.865439419010848 0.216159008822757 0.083919154412201 7.03377616856269 1.91313781027358 0.99203402285741
"4" "SLICE" "simspir" 0.738451178451178 0.860856775142489 0.216130881095755 0.0682856961312063 2.69439771005988 0.683782694532059 NA
"5" "SLICE_CLIME" "simcres" 0.845488215488216 0.75696359624931 0.157368686394515 0.185894049920148 1.01434528914725 0.245147071457186 NA
"6" "SLICE_CLIME" "simeeg" 0.9843 0.72835613555041 0.150816332551607 0.996818535176811 6.52096620222699 0.245125784859314 NA
"7" "SLICE_CLIME" "simrand" 0.845757575757576 0.707240301526016 0.140498867289568 0.0802245310309339 18.3868040491838 13.9645466212674 0.921989122399231
"8" "SLICE_CLIME" "simspir" 0.851380471380471 0.753160507446222 0.156928488830067 0.0686802759290799 2.68775972674246 0.717381154344358 NA
"9" "SLICE_GSCAD" "simcres" 0.81003367003367 0.86143592572164 0.235353481767511 0.0143697686352694 9.98915886235261 4.84192775472501 NA
"10" "SLICE_GSCAD" "simeeg" 0.9982 0.141712143303478 0.0294046794476221 0.0997090223484393 28.6118203725615 18.2220509237971 NA
"11" "SLICE_GSCAD" "simrand" 0.804242424242424 0.851436845008274 0.223108877068918 0.0835713510034638 24.5455430022621 20.2353199345044 0.893017495585748
"12" "SLICE_GSCAD" "simspir" 0.812861952861953 0.861852362566648 0.236596115356621 0.0680720490940856 2.64304960926727 0.701017550626542 NA
"13" "nnLVGLASSO" "simcres" 0.986262626262626 0.0417760617760618 0.0531935968949807 0.676836496608395 263.956964506786 153.717062763321 NA
"14" "nnLVGLASSO" "simeeg" 1 4.2078775675943e-05 0.0204048404467619 0.9986968825621 46.6586426037905 30.8756507709262 NA
"15" "nnLVGLASSO" "simrand" 0.983771043771044 0.111467181467182 0.0569952088775198 0.195163834483552 97.7002361478077 97.66166114814 0.962888967782408
"16" "nnLVGLASSO" "simspir" 0.981178451178451 0.0656076484647913 0.0542029186382997 0.72674583963013 42.8095826737859 22.3496147756637 NA
"17" "rcLVGLASSO" "simcres" 0.987811447811448 0.110539621253907 0.0571564428251101 0.99974352049423 6.57504757589666 1.53741680190406 NA
"18" "rcLVGLASSO" "simeeg" 0.9768 0.023620079150177 0.0204075571901324 0.999904282151022 276.178603903534 30.8708116223586 NA
"19" "rcLVGLASSO" "simrand" 0.998316498316498 0.00925629711343997 0.0521526512293791 0.993661545053937 99.6409645529914 97.6643611212539 0.651781663550856
"20" "rcLVGLASSO" "simspir" 0.982693602693603 0.0550312557455415 0.0537133155444728 0.998455857749344 60.2942513064276 22.3848498416392 NA
"21" "tGLASSO" "simcirc" 0.0955555555555555 1 0.174100283354729 NA NA NA NA
"22" "tGLASSO" "simcres" 0 1 NA NA NA NA NA
"23" "tGLASSO" "simeeg" 0.7318 0.999729223078525 0.83238561140051 NA NA NA NA
"24" "tGLASSO" "simrand" 0.00612794612794613 0.999578966721824 0.0164432492098943 NA NA NA NA
"25" "tGLASSO" "simspir" 0.000202020202020202 1 0.00671140939597315 NA NA NA NA
